size	tolerance_gr	ES	EI
140-160	E13	715	85
140-160	F6	68	43
140-160	F7	83	43
140-160	F8	106	43
140-160	G6	39	14
140-160	G7	54	14
140-160	G8	77	14
140-160	H6	25	0
140-160	H7	40	0
140-160	H8	63	0
140-160	H9	100	0
140-160	H10	160	0
140-160	H11	250	0
140-160	J6	18	-7
140-160	J7	26	-14
140-160	J8	41	-22
140-160	JS6	12.5	-12.5
140-160	JS7	20	-20
140-160	JS8	31.5	-31.5
140-160	K6	4	-21
140-160	K7	12	-28
140-160	K8	20	-43
140-160	M6	-8	-33
140-160	M7	0	-40
140-160	M8	8	-55
140-160	N6	-20	-45
140-160	N7	-12	-52
140-160	N8	-4	-67
140-160	P6	-36	-61
140-160	P7	-28	-68
140-160	P8	-43	-106
140-160	R6	-58	-83
140-160	R7	-50	-90
160-180	E6	110	85
160-180	E7	125	85
160-180	E11	335	85
160-180	E12	485	85
160-180	E13	715	85
160-180	F6	68	43
160-180	F7	83	43
160-180	F8	106	43
160-180	G6	39	14
160-180	G7	54	14
160-180	G8	77	14
160-180	H6	25	0
160-180	H7	40	0
160-180	H8	63	0
160-180	H9	100	0
160-180	H10	160	0
160-180	H11	250	0
160-180	J6	18	-7
160-180	J7	26	-14
160-180	J8	41	-22
160-180	JS6	12.5	-12.5
160-180	JS7	20	-20
160-180	JS8	31.5	-31.5
160-180	K6	4	-21
160-180	K7	12	-28
160-180	K8	20	-43
160-180	M6	-8	-33
160-180	M7	0	-40
160-180	M8	8	-55
160-180	N6	-20	-45
160-180	N7	-12	-52
160-180	N8	-4	-67
160-180	P6	-36	-61
160-180	P7	-28	-68
160-180	P8	-43	-106
160-180	R6	-61	-86
160-180	R7	-53	-93
180-200	E6	129	100
180-200	E7	146	100
180-200	E11	390	100
180-200	E12	560	100
180-200	E13	820	100
180-200	F6	79	50
180-200	F7	96	50
180-200	F8	122	50
180-200	G6	44	15
180-200	G7	61	15
180-200	G8	87	15
180-200	H6	29	0
180-200	H7	46	0
180-200	H8	72	0
180-200	H9	115	0
180-200	H10	185	0
180-200	H11	290	0
180-200	J6	22	-7
180-200	J7	30	-16
180-200	J8	47	-25
180-200	JS6	14.5	-14.5
180-200	JS7	23	-23
180-200	JS8	36	-36
180-200	K6	5	-24
180-200	K7	13	-33
180-200	K8	22	-50
180-200	M6	-8	-37
180-200	M7	0	-46
180-200	M8	9	-63
180-200	N6	-22	-51
180-200	N7	-14	-60
180-200	N8	-5	-77
180-200	P6	-41	-70
180-200	P7	-33	-79
180-200	P8	-50	-122
180-200	R6	-68	-97
180-200	R7	-60	-106
200-225	E6	129	100
200-225	E7	146	100
200-225	E11	390	100
200-225	E12	560	100
200-225	E13	820	100
200-225	F6	79	50
200-225	F7	96	50
200-225	F8	122	50
200-225	G6	44	15
200-225	G7	61	15
200-225	G8	87	15
200-225	H6	29	0
200-225	H7	46	0
200-225	H8	72	0
200-225	H9	115	0
200-225	H10	185	0
200-225	H11	290	0
200-225	J6	22	-7
200-225	J7	30	-16
200-225	J8	47	-25
200-225	JS6	14.5	-14.5
200-225	JS7	23	-23
200-225	JS8	36	-36
200-225	K6	5	-24
200-225	K7	13	-33
200-225	K8	22	-50
200-225	M6	-8	-37
200-225	M7	0	-46
200-225	M8	9	-63
200-225	N6	-22	-51
200-225	N7	-14	-60
200-225	N8	-5	-77
200-225	P6	-41	-70
200-225	P7	-33	-79
200-225	P8	-50	-122
200-225	R6	-71	-100
200-225	R7	-63	-109
225-250	E6	129	100
225-250	E7	146	100
225-250	E11	390	100
225-250	E12	560	100
225-250	E13	820	100
225-250	F6	79	50
225-250	F7	96	50
225-250	F8	122	50
225-250	G6	44	15
225-250	G7	61	15
225-250	G8	87	15
225-250	H6	29	0
225-250	H7	46	0
225-250	H8	72	0
225-250	H9	115	0
225-250	H10	185	0
225-250	H11	290	0
225-250	J6	22	-7
225-250	J7	30	-16
225-250	J8	47	-25
225-250	JS6	14.5	-14.5
225-250	JS7	23	-23
225-250	JS8	36	-36
225-250	K6	5	-24
225-250	K7	13	-33
225-250	K8	22	-50
225-250	M6	-8	-37
225-250	M7	0	-46
225-250	M8	9	-63
225-250	N6	-22	-51
225-250	N7	-14	-60
225-250	N8	-5	-77
225-250	P6	-41	-70
225-250	P7	-33	-79
225-250	P8	-50	-122
225-250	R6	-75	-104
225-250	R7	-67	-113
250-280	E6	142	110
250-280	E7	162	110
250-280	E11	430	110
250-280	E12	630	110
250-280	E13	920	110
250-280	F6	88	56
250-280	F7	108	56
250-280	F8	137	56
250-280	G6	49	17
250-280	G7	69	17
250-280	G8	98	17
250-280	H6	32	0
250-280	H7	52	0
250-280	H8	81	0
250-280	H9	130	0
250-280	H10	210	0
250-280	H11	320	0
250-280	J6	25	-7
250-280	J7	36	-16
250-280	J8	55	-26
250-280	JS6	16	-16
250-280	JS7	26	-26
250-280	JS8	40.5	-40.5
250-280	K6	5	-27
250-280	K7	16	-36
250-280	K8	25	-56
250-280	M6	-9	-41
250-280	M7	0	-52
250-280	M8	9	-72
250-280	N6	-25	-57
250-280	N7	-14	-66
250-280	N8	-5	-86
250-280	P6	-47	-79
250-280	P7	-36	-88
250-280	P8	-56	-137
250-280	R6	-85	-117
250-280	R7	-74	-126
280-315	E6	142	110
280-315	E7	162	110
280-315	E11	430	110
280-315	E12	630	110
280-315	E13	920	110
280-315	F6	88	56
280-315	F7	108	56
280-315	F8	137	56
280-315	G6	49	17
280-315	G7	69	17
280-315	G8	98	17
280-315	H6	32	0
280-315	H7	52	0
280-315	H8	81	0
280-315	H9	130	0
280-315	H10	210	0
280-315	H11	320	0
280-315	J6	25	-7
280-315	J7	36	-16
280-315	J8	55	-26
280-315	JS6	16	-16
280-315	JS7	26	-26
280-315	JS8	40.5	-40.5
280-315	K6	5	-27
280-315	K7	16	-36
280-315	K8	25	-56
280-315	M6	-9	-41
280-315	M7	0	-52
280-315	M8	9	-72
280-315	N6	-25	-57
280-315	N7	-14	-66
280-315	N8	-5	-86
280-315	P6	-47	-79
280-315	P7	-36	-88
280-315	P8	-56	-137
280-315	R6	-89	-121
280-315	R7	-78	-130
315-355	E6	161	125
315-355	E7	185	125
315-355	E11	485	125
315-355	E12	695	125
315-355	E13	1015	125
315-355	F6	98	62
315-355	F7	119	62
315-355	F8	151	62
315-355	G6	54	18
315-355	G7	75	18
315-355	G8	107	18
315-355	H6	36	0
315-355	H7	57	0
315-355	H8	89	0
315-355	H9	140	0
315-355	H10	230	0
315-355	H11	360	0
315-355	J6	29	-7
315-355	J7	39	-18
315-355	J8	60	-29
315-355	JS6	18	-18
315-355	JS7	28.5	-28.5
315-355	JS8	44.5	-44.5
315-355	K6	7	-29
315-355	K7	17	-40
315-355	K8	28	-61
315-355	M6	-10	-46
315-355	M7	0	-57
315-355	M8	11	-78
315-355	N6	-26	-62
315-355	N7	-16	-73
315-355	N8	-5	-94
315-355	P6	-51	-87
315-355	P7	-41	-98
315-355	P8	-62	-151
315-355	R6	-97	-133
315-355	R7	-87	-144
355-400	E6	161	125
355-400	E7	185	125
355-400	E11	485	125
355-400	E12	695	125
355-400	E13	1015	125
355-400	F6	98	62
355-400	F7	119	62
355-400	F8	151	62
355-400	G6	54	18
355-400	G7	75	18
355-400	G8	107	18
355-400	H6	36	0
355-400	H7	57	0
355-400	H8	89	0
355-400	H9	140	0
355-400	H10	230	0
355-400	H11	360	0
355-400	J6	29	-7
355-400	J7	39	-18
355-400	J8	60	-29
355-400	JS6	18	-18
355-400	JS7	28.5	-28.5
355-400	JS8	44.5	-44.5
355-400	K6	7	-29
355-400	K7	17	-40
355-400	K8	28	-61
355-400	M6	-10	-46
355-400	M7	0	-57
355-400	M8	11	-78
355-400	N6	-26	-62
355-400	N7	-16	-73
355-400	N8	-5	-94
355-400	P6	-51	-87
355-400	P7	-41	-98
355-400	P8	-62	-151
355-400	R6	-103	-139
355-400	R7	-93	-150
