size	tolerance_gr	es	ei
120-140	h6	0	-25
120-140	h7	0	-40
120-140	h8	0	-63
120-140	h9	0	-100
120-140	h10	0	-160
120-140	h11	0	-250
120-140	h12	0	-400
120-140	j5	7	-11
120-140	j6	14	-11
120-140	j7	22	-18
120-140	js5	9	-9
120-140	js6	12.5	-12.5
120-140	js7	20	-20
120-140	k5	21	3
120-140	k6	28	3
120-140	k7	43	3
120-140	m5	33	15
120-140	m6	40	15
120-140	m7	55	15
120-140	n5	45	27
120-140	n6	52	27
120-140	n7	67	27
120-140	p5	61	43
120-140	p6	68	43
120-140	r6	88	63
140-160	a12	-520	-920
140-160	d6	-145	-170
140-160	e6	-85	-110
140-160	e13	-85	-715
140-160	f5	-43	-61
140-160	f6	-43	-68
140-160	f7	-43	-83
140-160	g5	-14	-32
140-160	g6	-14	-39
140-160	g7	-14	-54
140-160	h4	0	-12
140-160	h5	0	-18
140-160	h6	0	-25
140-160	h7	0	-40
140-160	h8	0	-63
140-160	h9	0	-100
140-160	h10	0	-160
140-160	h11	0	-250
140-160	h12	0	-400
140-160	j5	7	-11
140-160	j6	14	-11
140-160	j7	22	-18
140-160	js5	9	-9
140-160	js6	12.5	-12.5
140-160	js7	20	-20
140-160	k5	21	3
140-160	k6	28	3
140-160	k7	43	3
140-160	m5	33	15
140-160	m6	40	15
140-160	m7	55	15
140-160	n5	45	27
140-160	n6	52	27
140-160	n7	67	27
140-160	p5	61	43
140-160	p6	68	43
140-160	r6	90	65
160-180	a12	-580	-980
160-180	d6	-145	-170
160-180	e6	-85	-110
160-180	e13	-85	-715
160-180	f5	-43	-61
160-180	f6	-43	-68
160-180	f7	-43	-83
160-180	g5	-14	-32
160-180	g6	-14	-39
160-180	g7	-14	-54
160-180	h4	0	-12
160-180	h5	0	-18
160-180	h6	0	-25
160-180	h7	0	-40
160-180	h8	0	-63
160-180	h9	0	-100
160-180	h10	0	-160
160-180	h11	0	-250
160-180	h12	0	-400
160-180	j5	7	-11
160-180	j6	14	-11
160-180	j7	22	-18
160-180	js5	9	-9
160-180	js6	12.5	-12.5
160-180	js7	20	-20
160-180	k5	21	3
160-180	k6	28	3
160-180	k7	43	3
160-180	m5	33	15
160-180	m6	40	15
160-180	m7	55	15
160-180	n5	45	27
160-180	n6	52	27
160-180	n7	67	27
160-180	p5	61	43
160-180	p6	68	43
160-180	r6	93	68
180-200	a12	-660	-1120
180-200	d6	-170	-199
180-200	e6	-100	-129
180-200	e13	-100	-820
180-200	f5	-50	-70
180-200	f6	-50	-79
180-200	f7	-50	-96
180-200	g5	-15	-35
180-200	g6	-15	-44
180-200	g7	-15	-61
180-200	h4	0	-14
180-200	h5	0	-20
180-200	h6	0	-29
180-200	h7	0	-46
180-200	h8	0	-72
180-200	h9	0	-115
180-200	h10	0	-185
180-200	h11	0	-290
180-200	h12	0	-460
180-200	j5	7	-13
180-200	j6	16	-13
180-200	j7	25	-21
180-200	js5	10	-10
180-200	js6	14.5	-14.5
180-200	js7	23	-23
180-200	k5	24	4
180-200	k6	33	4
180-200	k7	50	4
180-200	m5	37	17
180-200	m6	46	17
180-200	m7	63	17
180-200	n5	51	31
180-200	n6	60	31
180-200	n7	77	31
180-200	p5	70	50
180-200	p6	79	50
180-200	r6	106	77
200-225	a12	-740	-1200
200-225	d6	-170	-199
200-225	e6	-100	-129
200-225	e13	-100	-820
200-225	f5	-50	-70
200-225	f6	-50	-79
200-225	f7	-50	-96
200-225	g5	-15	-35
200-225	g6	-15	-44
200-225	g7	-15	-61
200-225	h4	0	-14
200-225	h5	0	-20
200-225	h6	0	-29
200-225	h7	0	-46
200-225	h8	0	-72
200-225	h9	0	-115
200-225	h10	0	-185
200-225	h11	0	-290
200-225	h12	0	-460
200-225	j5	7	-13
200-225	j6	16	-13
200-225	j7	25	-21
200-225	js5	10	-10
200-225	js6	14.5	-14.5
200-225	js7	23	-23
200-225	k5	24	4
200-225	k6	33	4
200-225	k7	50	4
200-225	m5	37	17
200-225	m6	46	17
200-225	m7	63	17
200-225	n5	51	31
200-225	n6	60	31
200-225	n7	77	31
200-225	p5	70	50
200-225	p6	79	50
200-225	r6	109	80
225-250	a12	-820	-1280
225-250	d6	-170	-199
225-250	e6	-100	-129
225-250	e13	-100	-820
225-250	f5	-50	-70
225-250	f6	-50	-79
225-250	f7	-50	-96
225-250	g5	-15	-35
225-250	g6	-15	-44
225-250	g7	-15	-61
225-250	h4	0	-14
225-250	h5	0	-20
225-250	h6	0	-29
225-250	h7	0	-46
225-250	h8	0	-72
225-250	h9	0	-115
225-250	h10	0	-185
225-250	h11	0	-290
225-250	h12	0	-460
225-250	j5	7	-13
225-250	j6	16	-13
225-250	j7	25	-21
225-250	js5	10	-10
225-250	js6	14.5	-14.5
225-250	js7	23	-23
225-250	k5	24	4
225-250	k6	33	4
225-250	k7	50	4
225-250	m5	37	17
225-250	m6	46	17
225-250	m7	63	17
225-250	n5	51	31
225-250	n6	60	31
225-250	n7	77	31
225-250	p5	70	50
225-250	p6	79	50
225-250	r6	113	84
250-280	a12	-920	-1440
250-280	d6	-190	-222
250-280	e6	-110	-142
250-280	e13	-110	-920
250-280	f5	-56	-79
250-280	f6	-56	-88
250-280	f7	-56	-108
250-280	g5	-17	-40
250-280	g6	-17	-49
250-280	g7	-17	-69
250-280	h4	0	-16
250-280	h5	0	-23
250-280	h6	0	-32
250-280	h7	0	-52
250-280	h8	0	-81
250-280	h9	0	-130
250-280	h10	0	-210
250-280	h11	0	-320
250-280	h12	0	-520
250-280	j5	7	-16
250-280	j6	16	-16
250-280	j7	26	-26
250-280	js5	11.5	-11.5
250-280	js6	16	-16
250-280	js7	26	-26
250-280	k5	27	4
250-280	k6	36	4
250-280	k7	56	4
250-280	m5	43	20
250-280	m6	52	20
250-280	m7	72	20
250-280	n5	57	34
250-280	n6	66	34
250-280	n7	86	34
250-280	p5	79	56
250-280	p6	88	56
250-280	r6	126	94
280-315	a12	-1050	-1570
280-315	d6	-190	-222
280-315	e6	-110	-142
280-315	e13	-110	-920
280-315	f5	-56	-79
280-315	f6	-56	-88
280-315	f7	-56	-108
280-315	g5	-17	-40
280-315	g6	-17	-49
280-315	g7	-17	-69
280-315	h4	0	-16
280-315	h5	0	-23
280-315	h6	0	-32
280-315	h7	0	-52
280-315	h8	0	-81
280-315	h9	0	-130
280-315	h10	0	-210
280-315	h11	0	-320
280-315	h12	0	-520
280-315	j5	7	-16
280-315	j6	16	-16
280-315	j7	26	-26
280-315	js5	11.5	-11.5
280-315	js6	16	-16
280-315	js7	26	-26
280-315	k5	27	4
280-315	k6	36	4
280-315	k7	56	4
280-315	m5	43	20
280-315	m6	52	20
280-315	m7	72	20
280-315	n5	57	34
280-315	n6	66	34
280-315	n7	86	34
280-315	p5	79	56
280-315	p6	88	56
280-315	r6	130	98
315-355	a12	-1200	-1770
315-355	d6	-210	-246
315-355	e6	-125	-161
315-355	e13	-125	-1015
315-355	f5	-62	-87
315-355	f6	-62	-98
315-355	f7	-62	-119
315-355	g5	-18	-43
315-355	g6	-18	-54
315-355	g7	-18	-75
315-355	h4	0	-18
315-355	h5	0	-25
315-355	h6	0	-36
315-355	h7	0	-57
315-355	h8	0	-89
315-355	h9	0	-140
315-355	h10	0	-230
315-355	h11	0	-360
315-355	h12	0	-570
315-355	j5	7	-18
315-355	j6	18	-18
315-355	j7	29	-28
315-355	js5	12.5	-12.5
315-355	js6	18	-18
315-355	js7	28.5	-28.5
315-355	k5	29	4
315-355	k6	40	4
315-355	k7	61	4
315-355	m5	46	21
315-355	m6	57	21
315-355	m7	78	21
315-355	n5	62	37
315-355	n6	73	37
315-355	n7	94	37
315-355	p5	87	62
315-355	p6	98	62
315-355	r6	144	108
355-400	a12	-1350	-1920
355-400	d6	-210	-246
355-400	e6	-125	-161
355-400	e13	-125	-1015
355-400	f5	-62	-87
355-400	f6	-62	-98
355-400	f7	-62	-119
355-400	g5	-18	-43
355-400	g6	-18	-54
355-400	g7	-18	-75
355-400	h4	0	-18
355-400	h5	0	-25
355-400	h6	0	-36
355-400	h7	0	-57
355-400	h8	0	-89
355-400	h9	0	-140
355-400	h10	0	-230
355-400	h11	0	-360
355-400	h12	0	-570
355-400	j5	7	-18
355-400	j6	18	-18
355-400	j7	29	-28
355-400	js5	12.5	-12.5
355-400	js6	18	-18
355-400	js7	28.5	-28.5
355-400	k5	29	4
355-400	k6	40	4
355-400	k7	61	4
355-400	m5	46	21
355-400	m6	57	21
355-400	m7	78	21
355-400	n5	62	37
355-400	n6	73	37
355-400	n7	94	37
355-400	p5	87	62
355-400	p6	98	62
355-400	r6	150	114
